#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
EQA2316_contigs.fa,contig00003,16408,17130,-,sopE2,1-723/723,===============,0/0,100.00,100.00,vfdb,NP_460811,(sopE2) type III secretion system effector SopE2 guanine nucleotide exchange factor [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00003,225955,227640,+,sopB/sigD,1-1686/1686,===============,0/0,100.00,99.35,vfdb,NP_460064,(sopB/sigD) type III secretion system effector SopB phosphoinositide phosphatase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00003,228546,229421,+,pipB,1-876/876,===============,0/0,100.00,98.97,vfdb,NP_460061,(pipB) type III secretion system effector PipB [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00003,243872,244924,+,ompA,1-1041/1041,========/======,1/12,100.00,89.65,vfdb,AAF37887,(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218],
EQA2316_contigs.fa,contig00003,264957,265925,-,sseI/srfH,1-969/969,===============,0/0,100.00,99.59,vfdb,NP_460026,(sseI/srfH) type III secretion system effector SseI/SrfH cysteine protease [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00003,349370,350329,-,sopD2,1-960/960,===============,0/0,100.00,99.48,vfdb,NP_459947,(sopD2) type III secretion system effector SopD2 [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00003,491090,493357,-,slrP,1-2298/2298,========/======,2/30,98.69,96.87,vfdb,NP_459778,(slrP) type III secretion system effector SlrP E3 ubiquitin ligase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00005,97042,99234,+,sinH,1-2193/2193,===============,0/0,100.00,99.91,vfdb,NP_461452,(sinH) intimin-like protein [SinH (VF0400)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00005,106133,113428,+,ratB,1-7308/7308,========/======,2/12,99.84,98.71,vfdb,NP_461449,(ratB) putative outer membrane protein [RatB (VF0399)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00005,358379,359332,-,sseL,1-954/954,===============,0/0,100.00,96.86,vfdb,NP_461229,(sseL) type III secretion system effector SseL deubiquitinase [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00006,66166,68514,+,sopA,1-2349/2349,===============,0/0,100.00,99.28,vfdb,NP_461011,(sopA) type III secretion system effector SopA E3 ubiquitin ligase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,11873,12826,-,sopD,1-954/954,===============,0/0,100.00,97.90,vfdb,NP_461866,(sopD) type III secretion system effector SopD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,53849,54292,-,invH,1-444/444,===============,0/0,100.00,98.87,vfdb,NP_461821,(invH) type III secretion system pilotin invG [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,54748,55398,+,invF,1-651/651,===============,0/0,100.00,99.85,vfdb,NP_461820,(invF) type III secretion system regulatory protein InvF [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,55395,57083,+,invG,1-1689/1689,===============,0/0,100.00,99.35,vfdb,NP_461819,(invG) type III secretion system secretin invG [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,57080,58198,+,invE,1-1119/1119,===============,0/0,100.00,99.73,vfdb,NP_461818,(invE) type III secretion system gatekeeper invE [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,58223,60280,+,invA,1-2058/2058,===============,0/0,100.00,99.32,vfdb,NP_461817,(invA) type III secretion system major export apparatus protein InvA [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,60304,60711,+,invB,1-408/408,===============,0/0,100.00,99.02,vfdb,NP_461816,(invB) type III secretion system protein InvB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,60708,62003,+,invC,1-1296/1296,===============,0/0,100.00,99.92,vfdb,NP_461815,(invC) type III secretion system ATPase InvC [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,61981,62424,+,invI,1-444/444,===============,0/0,100.00,100.00,vfdb,NP_461814,(invI) type III secretion system stalk protein InvI [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,62424,63434,+,invJ,1-1011/1011,===============,0/0,100.00,99.11,vfdb,NP_461813,(invJ) type III secretion system needle length regulator InvJ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,63434,64345,+,spaO,1-912/912,===============,0/0,100.00,98.79,vfdb,NP_461812,(spaO) type III secretion system C ring protein SpaO [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,64335,65009,+,spaP,1-675/675,===============,0/0,100.00,98.96,vfdb,NP_461811,(spaP) type III secretion system minor export apparatus protein SpaP [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,65035,65295,+,spaQ,1-261/261,===============,0/0,100.00,100.00,vfdb,NP_461810,(spaQ) type III secretion system minor export apparatus protein SpaQ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,65299,66090,+,spaR,1-792/792,===============,0/0,100.00,99.24,vfdb,NP_461809,(spaR) type III secretion system minor export apparatus protein SpaR [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,66077,67147,+,spaS,1-1071/1071,===============,0/0,100.00,100.00,vfdb,NP_461808,(spaS) type III secretion system export apparatus switch protein SpaS [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,67285,67782,+,sicA,1-498/498,===============,0/0,100.00,99.60,vfdb,NP_461807,(sicA) chaparone for SipC and SipB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,67785,69566,+,sipB/sspB,1-1782/1782,===============,0/0,100.00,99.72,vfdb,NP_461806,(sipB/sspB) type III secretion system hydrophilic translocator pore protein SipB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,69594,70823,+,sipC/sspC,1-1230/1230,===============,0/0,100.00,99.51,vfdb,NP_461805,(sipC/sspC) type III secretion system hydrophilic translocator pore protein SipC [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,70894,71925,+,sipD,1-1032/1032,===============,0/0,100.00,99.81,vfdb,NP_461804,(sipD) type III secretion system hydrophilic translocator needle tip protein SipD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,71944,74001,+,sipA/sspA,1-2058/2058,===============,0/0,100.00,99.85,vfdb,NP_461803,(sipA/sspA) type III secretion system effector SipA actin polymerizing activity [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,74599,74991,+,sicP,1-393/393,===============,0/0,100.00,100.00,vfdb,NP_461800,(sicP) chaparone for SptP [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,74978,76609,+,sptP,1-1632/1632,===============,0/0,100.00,99.63,vfdb,NP_461799,(sptP) type III secretion system effector SptP tyrosine phosphatase and GTPase-activating protein [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,81160,82338,+,prgH,1-1179/1179,===============,0/0,100.00,99.58,vfdb,NP_461795,(prgH) type III secretion system outer MS ring protein PrgH [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,82363,82605,+,prgI,1-243/243,===============,0/0,100.00,100.00,vfdb,NP_461794,(prgI) type III secretion system needle filament protein PrgI [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,82624,82929,+,prgJ,1-306/306,===============,0/0,100.00,100.00,vfdb,NP_461793,(prgJ) type III secretion system inner rod protein PrgJ [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,82926,83684,+,prgK,1-759/759,===============,0/0,100.00,99.87,vfdb,NP_461792,(prgK) type III secretion system inner MS ring protein PrgK [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,83656,84255,+,orgA,1-600/600,===============,0/0,100.00,100.00,vfdb,NP_461791,(orgA) type III secretion system accessory cytosolic protein OrgA [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,84212,84892,+,orgB,1-681/681,===============,0/0,100.00,99.85,vfdb,NP_461790,(orgB) type III secretion system stator OrgB [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,84889,85341,+,orgC,1-453/453,===============,0/0,100.00,99.34,vfdb,NP_461789,(orgC) type III secretion system effector OrgC [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,87873,88780,+,avrA,1-909/909,========/======,1/1,99.89,99.78,vfdb,NP_461786,(avrA) type III secretion system effector AvrA acetyltransferease [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,167779,168675,-,mig-14,1-897/897,===============,0/0,100.00,98.11,vfdb,NP_461708,(mig-14) antimicrobial peptide resistance protein Mig-14 [Mig-14 (VF0395)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00007,170417,171469,+,pipB2,1-1053/1053,===============,0/0,100.00,99.53,vfdb,NP_461706,(pipB2) type III secretion system effector PipB3 [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00008,214,750,+,lpfA,1-537/537,===============,0/0,100.00,99.81,vfdb,NP_462541,(lpfA) long polar fimbria protein LpfA [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00008,835,1533,+,lpfB,1-699/699,===============,0/0,100.00,99.86,vfdb,NP_462540,(lpfB) long polar fimbrial chaperone protein LpfB [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00008,1556,4083,+,lpfC,1-2529/2529,========/======,1/1,99.96,99.17,vfdb,NP_462539,(lpfC) long polar fimbrial usher protein LpfC [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00008,4101,5180,+,lpfD,1-1080/1080,===============,0/0,100.00,99.63,vfdb,NP_462538,(lpfD) long polar fimbrial protein LpfD [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00008,5186,5713,+,lpfE,1-528/528,===============,0/0,100.00,99.81,vfdb,NP_462537,(lpfE) long polar fimbrial minor subunit LpfE adhesin [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00010,41585,42280,+,mgtC,1-696/696,===============,0/0,100.00,98.56,vfdb,NP_462663,(mgtC) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00010,42500,45226,+,mgtB,1-2727/2727,===============,0/0,100.00,99.23,vfdb,NP_462662,(mgtB) Mg2+ transport protein [MgtBC (VF0106)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00010,49079,51946,-,misL,1-2868/2868,===============,0/0,100.00,99.44,vfdb,NP_462656,(misL) putative autotransporter [MisL (VF0397)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
